GEO.id2,median_housing_value,median_monthly_housing_cost,gross_rent,unemployment_rate,median_household_income,walked_to_work_pct,mean_travel_time_to_work
60601,502600.0,1500.0,2045.0,4.5,110215,45.3,27.6
60602,,,2506.0,0.6,115774,58.4,21.6
60603,678900.0,1500.0,2390.0,8.0,140114,55.6,20.6
60604,506800.0,1271.0,1960.0,8.3,114565,56.1,19.9
60605,387900.0,1179.0,1950.0,4.7,107811,21.6,29.3
60606,441900.0,1167.0,2177.0,2.0,139179,38.4,26.6
60607,357300.0,886.0,1761.0,5.9,92240,25.4,27.7
60608,239900.0,613.0,865.0,8.9,41226,5.6,31.1
60609,163200.0,537.0,798.0,17.4,33959,5.5,32.1
60610,416100.0,1377.0,1501.0,4.3,81576,17.8,28.4
60611,477300.0,1499.0,1881.0,3.5,96040,35.6,24.4
60612,245500.0,677.0,972.0,13.8,38756,5.7,32.5
60613,324700.0,883.0,1303.0,3.9,79565,5.1,35.9
60614,545400.0,1249.0,1512.0,3.0,100116,6.7,30.8
60615,217900.0,857.0,1073.0,10.2,41679,15.5,30.3
60616,294400.0,707.0,1000.0,7.7,46340,10.9,29.3
60617,127300.0,498.0,807.0,18.5,38417,2.2,38.8
60618,355600.0,784.0,1134.0,5.2,66246,4.1,35.2
60619,151900.0,511.0,860.0,19.3,32558,2.1,40.3
60620,135000.0,521.0,865.0,21.2,33304,1.2,40.4
60621,107600.0,518.0,815.0,32.5,19845,2.2,41.3
60622,450700.0,982.0,1384.0,4.3,87143,5.1,31.2
60623,148600.0,593.0,830.0,12.1,31445,6.1,36.3
60624,155500.0,649.0,907.0,18.2,22467,1.6,36.2
60625,329700.0,793.0,1094.0,5.5,63106,5.5,36.9
60626,190500.0,733.0,953.0,7.4,39163,7.0,36.8
60628,116800.0,488.0,944.0,24.4,38206,1.5,40.4
60629,152900.0,540.0,893.0,17.0,41856,3.5,35.9
60630,287700.0,658.0,1025.0,6.6,70122,1.4,36.3
60631,340400.0,698.0,1173.0,3.0,82226,1.7,31.8
60632,166200.0,538.0,847.0,10.8,42335,4.0,33.9
60633,117500.0,500.0,902.0,11.7,50164,2.8,31.9
60634,240500.0,646.0,1023.0,6.6,62223,1.8,37.9
60636,93900.0,487.0,868.0,31.1,27573,3.4,40.1
60637,178100.0,689.0,916.0,16.6,28024,17.0,34.0
60638,199600.0,531.0,951.0,10.0,67045,1.4,34.8
60639,204300.0,666.0,971.0,9.5,41307,3.2,37.7
60640,280600.0,834.0,970.0,6.6,50488,4.8,37.7
60641,271100.0,708.0,981.0,6.2,56488,2.3,36.8
60642,395400.0,894.0,1543.0,5.4,92797,6.1,28.6
60643,187300.0,623.0,968.0,13.1,59488,1.9,38.2
60644,150100.0,555.0,889.0,16.3,27617,3.4,39.2
60645,259500.0,674.0,1025.0,10.1,50589,6.2,33.0
60646,381200.0,843.0,943.0,5.3,86534,1.9,31.7
60647,356000.0,803.0,1164.0,4.8,68223,3.5,32.6
60649,165000.0,592.0,850.0,17.8,24941,2.7,42.7
60651,155200.0,601.0,959.0,14.2,36283,2.1,37.9
60652,162500.0,496.0,1007.0,13.0,65770,0.2,37.7
60653,240300.0,680.0,741.0,20.1,28411,4.2,34.9
60654,445500.0,1411.0,1956.0,3.9,104629,44.2,24.6
60655,240200.0,597.0,1068.0,3.9,94524,2.6,33.4
60656,268900.0,640.0,1056.0,5.6,60575,1.1,32.8
60657,404600.0,1101.0,1431.0,3.0,88708,4.9,34.2
60659,282400.0,758.0,1099.0,7.5,50554,6.0,33.3
60660,225900.0,763.0,950.0,6.2,45442,6.5,36.8
60661,349600.0,1115.0,1901.0,4.1,104714,50.5,26.0
