Zip Code,Overall Grade,Public Schools,Crime & Safety,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute
98101,12,11,6,5,12,10,10,8,8,4,12,12,12
98106,10,10,6,5,11,10,12,6,8,4,12,11,10
98105,12,10,6,5,12,11,9,7,8,4,12,12,12
98107,12,10,6,6,12,11,8,9,8,4,12,11,11
98104,12,10,6,5,12,9,11,6,8,4,12,11,12
98108,9,10,6,4,12,9,12,5,8,4,11,12,10
98103,12,11,6,6,12,11,8,9,8,4,12,12,11
98102,12,11,6,6,12,11,8,10,8,4,12,11,12
98109,12,10,6,6,12,11,8,9,8,4,12,12,12
98116,12,10,6,5,12,11,9,10,8,4,12,11,10
98110,12,12,6,7,9,12,7,9,6,5,11,11,10
98112,12,10,6,6,12,11,8,10,8,4,12,12,12
98115,12,10,6,6,12,11,9,9,8,4,12,12,11
98117,12,10,6,5,12,11,8,9,8,4,12,11,10
98118,10,9,6,4,11,10,12,6,8,4,12,11,9
98119,12,10,6,5,12,11,9,10,8,4,12,11,12
98122,12,10,6,5,12,11,11,9,8,4,12,12,12
98125,11,10,6,5,11,10,11,7,8,4,12,11,10
98126,11,10,6,5,11,10,11,8,8,4,12,11,10
98121,12,11,6,7,12,11,10,10,8,4,12,11,12
98136,11,10,6,5,9,10,9,9,8,4,11,11,10
98133,11,11,6,5,12,10,11,7,8,4,12,11,10
98134,10,10,6,4,12,8,11,7,8,4,12,11,10
98144,12,10,6,5,12,11,12,8,8,4,12,12,11
98146,8,8,6,4,9,8,12,6,8,4,12,11,9
98148,8,8,6,4,11,8,12,6,8,4,12,11,10
98155,11,12,6,7,9,11,10,8,8,4,12,11,9
98166,10,7,6,4,12,9,10,7,8,5,12,11,9
98168,8,7,6,4,10,8,12,6,8,5,11,12,10
98178,9,8,6,5,8,9,12,8,8,5,11,11,8
98177,11,11,6,6,8,11,9,9,8,4,12,11,9
98188,8,6,6,4,12,7,12,7,8,5,12,11,10
98198,8,7,6,4,10,8,12,7,8,5,11,11,9
98199,11,10,6,5,11,11,9,9,8,4,12,11,10
